NACE,Industrial Ecosystem,Horizontal code or not,NACE (Level 2),TIME_PERIOD,geo,Value added weight,Industrial Ecosystem&NACE&Horizontal code or not,Horizontal NACE code,Turnover weight,Persons employed weight,Employees in FTEs weight,Amount of Enterprises weight
C31,Construction,TRUE,C31,2020,AT,0.011887374,ConstructionC25TRUE,C25,0.011887374,0.011887374,0.011887374,0.011887374
F41,Construction,TRUE,F41,2020,AT,0.040076642,ConstructionC25TRUE,C25,0.040076642,0.040076642,0.040076642,0.040076642
F42,Construction,TRUE,F42,2020,AT,0.023339648,ConstructionC25TRUE,C25,0.023339648,0.023339648,0.023339648,0.023339648
F43,Construction,TRUE,F43,2020,AT,0.089796147,ConstructionC25TRUE,C25,0.089796147,0.089796147,0.089796147,0.089796147
M71,Construction,TRUE,M71,2020,AT,0.00693056,ConstructionC25TRUE,C25,0.00693056,0.00693056,0.00693056,0.00693056
N81,Construction,TRUE,N81,2020,AT,0.000648552,ConstructionC25TRUE,C25,0.000648552,0.000648552,0.000648552,0.000648552
C31,Construction,TRUE,C31,2021,AT,0.011421052,ConstructionC25TRUE,C25,0.011421052,0.011421052,0.011421052,0.011421052
F41,Construction,TRUE,F41,2021,AT,0.038422433,ConstructionC25TRUE,C25,0.038422433,0.038422433,0.038422433,0.038422433
F42,Construction,TRUE,F42,2021,AT,0.022481569,ConstructionC25TRUE,C25,0.022481569,0.022481569,0.022481569,0.022481569
F43,Construction,TRUE,F43,2021,AT,0.088456572,ConstructionC25TRUE,C25,0.088456572,0.088456572,0.088456572,0.088456572
M71,Construction,TRUE,M71,2021,AT,0.006831054,ConstructionC25TRUE,C25,0.006831054,0.006831054,0.006831054,0.006831054
N81,Construction,TRUE,N81,2021,AT,0.000795677,ConstructionC25TRUE,C25,0.000795677,0.000795677,0.000795677,0.000795677
C31,Construction,TRUE,C31,2022,AT,0.004083701,ConstructionC25TRUE,C25,0.004083701,0.004083701,0.004083701,0.004083701
F41,Construction,TRUE,F41,2022,AT,0.038997289,ConstructionC25TRUE,C25,0.038997289,0.038997289,0.038997289,0.038997289
F42,Construction,TRUE,F42,2022,AT,0.021494154,ConstructionC25TRUE,C25,0.021494154,0.021494154,0.021494154,0.021494154
